Change ID*+,Impact*,Submitter*,Support Company*+,Support Organization,Support Group Name,Scheduled Start Date+,Scheduled End Date+,Summary*,Notes,Urgency*,Risk Level*
CRQ000000019165,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/2/2010 0:00,12/2/2010 1:00,RX migration,"SDP migration WO:  --------------------    1- connect to the Mysql DB and run the below update statements.    update `rules_868` set rule_number=6 where rule_id in('201690','201170','201171','201172','201173','201174','201175','201176','201177','201178','201179','201870','201871','201872','201873','201874','201875','201876','201877','201878','201879','201270','201271','201272','201273','201274','201275','201276','201277','201278','201279','201770','201771','201772','201773','201774','201775','201776','201777','201778','201779')    2- test cases:  	. Align with the payment team.  	. run the below select statement.    SELECT * FROM `rules_868` WHERE rule_prefix IN update `rules_868` set rule_number=6 where rule_id in('201690','201170','201171','201172','201173','201174','201175','201176','201177','201178','201179','201870','201871','201872','201873','201874','201875','201876','201877','201878','201879','201270','201271','201272','201273','201274','201275','201276','201277','201278','201279','201770','201771','201772','201773','201774','201775','201776','201777','201778','201779')    ",4-Low,Risk Level 3
CRQ000000019152,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,12/2/2010 2:00,12/2/2010 7:00,Activate CAP v2 CDR's on CCN 20,Activate CAP v2 CDR's on CCN 20,4-Low,Risk Level 1
CRQ000000019103,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/1/2010 0:00,12/1/2010 2:00,DEC SMS promo,"Please load the sent VXML files as below   -	500smspromo_2020 ' import to menu 2020  -	1500smspromo_4040 ' import to menu 4040  -	500_BI.vxml ' import to menu 123  -	1500_BI ' import to menu 230    ",4-Low,Risk Level 3
CRQ000000018914,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,11/29/2010 2:00,11/29/2010 7:00,Activate CAP v2 CDR's on CCN 19,Activate CAP v2 CDR's on CCN 19,4-Low,Risk Level 1
CRQ000000018572,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/23/2010 0:00,11/23/2010 2:00,new RX range,"insert into `rules_868` (rule_prefix,rule_number) values ( '2015140', 6);    insert into `rules_868` (rule_prefix,rule_number) values ( '2015141', 5);    insert into `rules_868` (rule_prefix,rule_number) values ( '2015142', 3);    insert into `rules_868` (rule_prefix,rule_number) values ( '2015143', 5);    insert into `rules_868` (rule_prefix,rule_number) values ( '2015144', 3);    Commit;  ",4-Low,Risk Level 1
CRQ000000018316,4-Minor/Localized,tezz,Service Operation,Technology,IN,11/14/2010 0:00,11/18/2010 0:00,open access from comptel test to CCN15,"we need access as below  Source:-  172.28.38.20 Nated IP(10.253.113.190)     Destinition 172.28.254.88    Ports 1806,1808,1810,1812",4-Low,Risk Level 1
CRQ000000018281,4-Minor/Localized,ANemr,Service Operation,Technology,Payment,11/14/2010 0:00,11/14/2010 1:00,opening access to vf global remedy,opening access to vf global remedy,2-High,Risk Level 1
CRQ000000018242,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/12/2010 0:00,11/12/2010 2:00,RX migration,"Update `rules_868` set rule_number=5 WHERE rule_prefix IN ( '201658', '201660');  Commit;  ",4-Low,Risk Level 1
CRQ000000018241,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/12/2010 0:00,11/12/2010 2:00,Garfield menu  ,import menu grafield in short code 8 and reload.,4-Low,Risk Level 1
CRQ000000018240,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/12/2010 0:00,11/12/2010 2:00,menu 666,Reload menu 666,4-Low,Risk Level 1
CRQ000000018239,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/12/2010 0:00,11/12/2010 2:02,8310 menu,Reload menu 8310,4-Low,Risk Level 1
CRQ000000018167,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/10/2010 20:00,11/10/2010 21:00,Add new connector to menu 5055,"-	HTTP_CLIENT Connector  -	Connector Name*: USAGEDEV_PRE  -	Description: usage development promo for prepaid  -	Enabled  -	http://172.21.201.56:8080/  -	Method: Get  ",4-Low,Risk Level 1
CRQ000000018165,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/11/2010 0:00,11/11/2010 2:00,Activate new menu 8310,Kindly reactivate menu 8310.,4-Low,Risk Level 1
CRQ000000018161,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/11/2010 0:00,11/11/2010 2:00,Rx migration,1- Take Backup from the table.    2- Run the below sql statements.    update  `rules_868`  set rule_number = 6 where rule_prefix= '201955'  update  `rules_868`  set rule_number = 3 where rule_prefix= '201622'  update  `rules_868`  set rule_number = 5 where rule_prefix= '201921'  Commit;,4-Low,Risk Level 1
CRQ000000018047,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/10/2010 3:00,11/10/2010 4:00,Nokia data bundle.,"  1- add connector for the promo db new schema ""PROMODB_HANDSET""    2- load the new vxml file into menu sc 6487.",4-Low,Risk Level 1
CRQ000000018046,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/10/2010 3:00,11/10/2010 4:00,123 closure,Disable menu 123  ,4-Low,Risk Level 1
CRQ000000017982,4-Minor/Localized,ANemr,Service Operation,Technology,Payment,11/9/2010 11:00,11/9/2010 14:00,providing access to VF global remedy  ,providing access from attached laptops to destination      gosm.vodafone.com  (145.230.208.152)  port : 8001,2-High,Risk Level 1
CRQ000000017980,4-Minor/Localized,ANemr,Service Operation,Technology,Payment,11/9/2010 11:00,11/9/2010 14:00,providing access to VF global remedy  ,providing access from attached laptops to destination      gosm.vodafone.com  (145.230.208.152)  port : 8001,2-High,Risk Level 1
CRQ000000017977,4-Minor/Localized,ANemr,Service Operation,Technology,Payment,11/9/2010 11:00,11/9/2010 12:00,providing access to VF global remedy  ,providing access from attached laptops to destination      gosm.vodafone.com  (145.230.208.152)  port : 8001,2-High,Risk Level 1
CRQ000000017973,4-Minor/Localized,ANemr,Service Operation,Technology,Payment,11/9/2010 10:30,11/9/2010 14:00,providing access to VF global remedy  ,providing access from attached laptops to destination      gosm.vodafone.com  (145.230.208.152)  port : 8001,2-High,Risk Level 1
CRQ000000017942,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/9/2010 0:00,11/9/2010 2:00,Etopup USSD menu  ,"Hello Team,    Kindly find below the Etopup WO steps:    1-	Create new SMPP_EX Connector with the below details.  ""	Connector Name: 666GUIDE  ""	Description: New concatenated education SMS for Etopup  ""	Logging Level: Normal  ""	Message Source TON: 5  ""	Message Source NPI: 0  ""	Message Destination TON: 1  ""	Message Destination NPI: 1  ""	SMPP Client Connections:  -	System ID: ussdtpup  -	Password: ussdtpup  -	Systype: ussdtpup  -	Ip address: 172.28.37.76  -	Port: 2775  -	Connection type: TX  -	Req/sec: 5    2-	Take a backup from the old menu 666.  3-	Import the attached XML file to menu 666.  4-	Contact me and Wael Ali-Salim after finishing to test the menu.   ",4-Low,Risk Level 1
CRQ000000017919,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,11/9/2010 0:00,11/9/2010 2:00,SDP migration WO.,"SDP migration WO:  --------------------  From		TO		FROM		To  20164400000	20164499999	172.21.201.51	172.18.201.76  20192500000	20192599999	172.18.201.77	172.21.201.51    Work Order:  -----------    1- connect to the Mysql DB and run the below update statements.    update `rules_868` set rule_number=5 where rule_id = 171    update `rules_868` set rule_number=3 where rule_id = 1089      2- test cases:  	. Align with the payment team.  	. run the below select statement and make sure the numbers are 5,3:    SELECT * FROM `rules_868` WHERE rule_prefix IN ('201644', '201925');",4-Low,Risk Level 1
CRQ000000015572,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,10/9/2010 9:49,10/9/2010 9:50,please activate RSG for Mina Gearge emingeo,please activate RSG for Mina Gearge emingeo,4-Low,Risk Level 1
CRQ000000014856,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,9/23/2010 8:38,9/23/2010 8:38,Please activate RSG for Ashraf Azer (Ericsson),Please activate RSG for Ashraf Azer (Ericsson),4-Low,Risk Level 1
CRQ000000014189,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,9/7/2010 20:48,9/7/2010 20:48,please activate RSG for Mina George E// for SDP18 emergency case,please activate RSG for Mina George E// for SDP18 emergency case,4-Low,Risk Level 1
CRQ000000013894,4-Minor/Localized,tezz,Service Operation,Technology,IN,9/2/2010 0:00,9/2/2010 1:00,open firewall access for prepaid throtelling project,open firewall access for prepaid throtelling project  from machine:  172.28.11.24  172.28.11.22  172.28.11.18  to machine:  10.230.92.179  10.230.92.96  10.230.92.97  10.230.92.146  10.230.92.157  on ports: FTP and SFTP,4-Low,Risk Level 1
CRQ000000013892,4-Minor/Localized,tezz,Service Operation,Technology,IN,9/2/2010 0:00,9/2/2010 1:00,open firewall access for prepaid throtelling project,open firewall access for prepaid throtelling project  from machine:  172.28.11.24  172.28.11.22  172.28.11.18  to machine:  10.230.92.179  10.230.92.96  10.230.92.97  10.230.92.146  10.230.92.157  on ports: FTP and SFTP,4-Low,Risk Level 1
CRQ000000013171,4-Minor/Localized,KSabrouty,Service Operation,Technology,VAS Support,8/24/2010 2:00,8/24/2010 3:00,"configuring MSCSs 57, 58 on switch divert","configuring MSCSs 57, 58 on switch divert",4-Low,Risk Level 3
CRQ000000013091,4-Minor/Localized,KSabrouty,Service Operation,Technology,VAS Support,8/23/2010 2:00,8/23/2010 6:00,switch divert upgrade for minicall,switch divert upgrade for minicall,4-Low,Risk Level 3
CRQ000000012451,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,8/11/2010 15:49,8/11/2010 15:49,SDP33A down problem:    please activate RSG for :  Mina George Ericsson  Ashraf Azer Ericsson,SDP33A down problem:    please activate RSG for :  Mina George Ericsson  Ashraf Azer Ericsson,4-Low,Risk Level 1
CRQ000000012209,4-Minor/Localized,KSabrouty,Service Operation,Technology,VAS Support,8/9/2010 2:00,8/9/2010 3:00,update SA_REP_SUBSCRIBER with service classes,update SA_REP_SUBSCRIBER with service classes,2-High,Risk Level 3
CRQ000000012141,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,8/7/2010 11:55,8/7/2010 11:55,please activate RSG of Ashraf Azer (ericsson),Ashraf Azer (ericsson),1-Critical,Risk Level 1
CRQ000000011737,4-Minor/Localized,KSabrouty,Service Operation,Technology,VAS Support,8/3/2010 0:00,8/3/2010 5:00,extend DB table space,extend DB table space,4-Low,Risk Level 3
CRQ000000011609,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,7/30/2010 23:00,7/31/2010 17:00,open Mbalance VPN PolicyID: 755 & 428,Kindly open the VPN for  mBalance    Mbalance HQ-LAN/WAN & Rmd-LAN/WAN L2-Infra-Router L2-Infra-BB  PolicyID: 755 & 428  ,1-Critical,Risk Level 1
CRQ000000011426,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,7/28/2010 13:13,7/28/2010 13:13,Kindly activate the RSG accounts for eezzahm and eamrtawi to continue SDP 44 and SDP 45 installation,Kindly activate the RSG accounts for eezzahm and eamrtawi to continue SDP 44 and SDP 45 installation,4-Low,Risk Level 1
CRQ000000011309,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/27/2010 10:54,7/27/2010 10:55,please activate RSG for Ashraf Azer,please activate RSG for Ashraf Azer,4-Low,Risk Level 1
CRQ000000011115,4-Minor/Localized,KSabrouty,Service Operation,Technology,VAS Support,7/25/2010 1:00,7/25/2010 2:00,configure MSC56 on Switch divert,configure MSC56 on Switch divert,4-Low,Risk Level 1
CRQ000000011053,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,7/22/2010 8:07,7/22/2010 8:07,"Please add attached IPs  of SDP44 and SDP45 to our RSG group ""Billing nodes""      ","Please add attached IPs  of SDP44 and SDP45 to our RSG group ""Billing nodes""      ",4-Low,Risk Level 1
CRQ000000010985,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/21/2010 11:17,7/21/2010 11:17,please activate RSG for Mohamed Keshk  (Ericsson),please activate RSG for Mohamed Keshk  (Ericsson),1-Critical,Risk Level 1
CRQ000000010956,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,7/20/2010 23:00,7/21/2010 22:00,enable   SIGOS VPN policy ID 318 Zahraa-LAN-WAN  CCSM VPN policy ID 1884 HQ-LAN-WAN  period : Month,enable   SIGOS VPN policy ID 318 Zahraa-LAN-WAN  CCSM VPN policy ID 1884 HQ-LAN-WAN  period : Month,4-Low,Risk Level 1
CRQ000000010942,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/21/2010 7:25,7/21/2010 7:25,Please activate RSG for emingeo,Please activate RSG for emingeo,1-Critical,Risk Level 1
CRQ000000010756,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,7/18/2010 23:00,7/25/2010 23:00,Kindly open a vpn for Mbalance  HQ-LAN/WAN & Rmd-LAN/WAN  Policy ID: 755 & 428  ,Kindly open a vpn for Mbalance  HQ-LAN/WAN & Rmd-LAN/WAN  Policy ID: 755 & 428  ,2-High,Risk Level 1
CRQ000000010058,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,7/7/2010 23:00,7/8/2010 11:00,Username: eomaism  Nodes: 2G&3G OSS,Username: eomaism  Nodes: 2G&3G OSS,4-Low,Risk Level 1
CRQ000000009985,3-Moderate/Limited,KSabrouty,Service Operation,Technology,VAS Support,7/8/2010 1:00,7/8/2010 4:00,change the RBT provisioning from VASP towards HLRGW,change the RBT provisioning from VASP towards HLRGW,2-High,Risk Level 1
CRQ000000009977,4-Minor/Localized,Afarouk,Service Operation,Technology,NSM,7/7/2010 11:00,7/8/2010 23:00,RSG access for OSS problem Mina Mounir [eminmou].  ,RSG access for OSS problem Mina Mounir [eminmou].,4-Low,Risk Level 1
CRQ000000009692,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,7/3/2010 23:00,7/4/2010 11:00,Username: eminmou  Nodes: 2GOSS & 3GOSS,Username: eminmou  Nodes: 2GOSS & 3GOSS,4-Low,Risk Level 1
CRQ000000009690,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,7/4/2010 8:05,7/4/2010 8:05,please activate the RSG accounts for eezzahm and eamrtawi for 5 days,please activate the RSG accounts for eezzahm and eamrtawi for 5 days,4-Low,Risk Level 1
CRQ000000009426,4-Minor/Localized,MAzem1,Prepaid Charging,Technology,Prepaid Charging,6/30/2010 1:00,6/30/2010 4:00,RBT June Update,RBT June Update,4-Low,Risk Level 1
CRQ000000009424,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,6/28/2010 23:00,6/29/2010 11:30,"Open RSG for mina mounir   Username: ""eminmou""  Node: 3GOSS & 2GOSS","Open RSG for mina mounir   Username: ""eminmou""  Node: 3GOSS & 2GOSS",4-Low,Risk Level 1
CRQ000000009345,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,6/28/2010 10:53,6/28/2010 10:53,please activate the RSG accounts for eezzahm and eamrtawi for SDP 43 installation,please activate the RSG accounts for eezzahm and eamrtawi for SDP 43 installation,4-Low,Risk Level 1
CRQ000000009032,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,6/23/2010 10:35,6/23/2010 10:35,"Please open RSG for below user  ""eelasaz""","Please open RSG for below user  ""eelasaz""",4-Low,Risk Level 1
CRQ000000008905,3-Moderate/Limited,Afarouk,Service Operation,Technology,NSM,6/22/2010 12:00,6/23/2010 23:00,RSG for OSS problem  Mina Mounir [eminmou],RSG for OSS problem  Mina Mounir [eminmou],3-Medium,Risk Level 1
CRQ000000008642,3-Moderate/Limited,Afarouk,Service Operation,Technology,NSM,6/20/2010 11:00,6/21/2010 23:00,RSG Request for Mina Mounir [eminmou].  for OSS problem,RSG Request for Mina Mounir [eminmou].  for OSS problem,3-Medium,Risk Level 1
CRQ000000008252,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,6/14/2010 12:54,6/14/2010 12:54,Please open the RSG of eamrtawi for 5 days.,Please open the RSG of eamrtawi for 5 days.,4-Low,Risk Level 1
CRQ000000008247,4-Minor/Localized,edessouki,Prepaid Charging,Technology,Prepaid Charging,6/14/2010 13:00,6/14/2010 13:10,Change IP of AIR that CCATis connecting to  AIR 1 --> 172.28.201.23  AIR 2 -->172.28.201.33,This is a change in the database,4-Low,Risk Level 1
CRQ000000008115,2-Significant/Large,Afarouk,Service Operation,Technology,NSM,6/13/2010 10:00,6/14/2010 23:00,RSG for OSS problem  Mina Mounir [eminmou],RSG for OSS problem  Mina Mounir [eminmou]  ,3-Medium,Risk Level 1
CRQ000000008008,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,6/9/2010 23:00,6/10/2010 10:00,"Open RSG : Bishoy Alphones ""ebisalp""  Nodes: OSS 2G & 3G","Open RSG : Bishoy Alphones ""ebisalp""  Nodes: OSS 2G & 3G",4-Low,Risk Level 1
CRQ000000007999,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,6/9/2010 21:19,6/9/2010 21:19,Please activate the RSG access for Mina George (ericsson),Please activate the RSG access for Mina George (ericsson),4-Low,Risk Level 1
CRQ000000007848,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,6/8/2010 10:46,6/8/2010 10:46,"please open RSG for user ""eelasaz""","please open RSG for user ""eelasaz""",4-Low,Risk Level 1
CRQ000000007661,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,6/6/2010 14:28,6/6/2010 14:28,Please Open RSG for below user    eamrtawi,Please Open RSG for below user    eamrtawi,4-Low,Risk Level 1
CRQ000000007659,4-Minor/Localized,GMoustafa,Service Operation,Technology,Charging,6/6/2010 14:00,6/6/2010 14:07,open RSG access,RSG access for eamrtawi,1-Critical,Risk Level 1
CRQ000000007637,3-Moderate/Limited,Afarouk,Service Operation,Technology,NSM,6/5/2010 23:00,6/6/2010 0:00,RSG for OSS problem  Mina Mounir [eminmou],RSG for OSS problem  Mina Mounir [eminmou],2-High,Risk Level 1
CRQ000000007591,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,6/5/2010 6:33,6/5/2010 6:33,please Activate RSG account for Ashraf Azer (Ericsson),please Activate RSG account for Ashraf Azer (Ericsson),4-Low,Risk Level 1
CRQ000000007346,4-Minor/Localized,AMegahed2,Service Operation,Technology,Payment,5/31/2010 23:00,6/1/2010 0:00,Open access between Huawei IVR ZHR to payment gateway,Open access between Huawei IVR ZHR to payment gateway,4-Low,Risk Level 1
CRQ000000007337,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,6/1/2010 15:05,6/1/2010 15:05,"please activate erricson RSG ""emingeo""","please activate erricson RSG ""emingeo""",4-Low,Risk Level 1
CRQ000000007318,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,6/1/2010 13:00,6/1/2010 23:00,VPN access,"Please open the below urgent VPN access to the vendors for 2 weeks:    VPN Name	GW	FW	From	To	Policy id  MSP	None	HQ-LAN/WAN	L2-Infra	L2-GSM	776  USSD Pri	195.230.2.85 	Rmd-LAN/WAN	L2-Infra	L2-GSM	366",1-Critical,Risk Level 1
CRQ000000007315,4-Minor/Localized,GMoustafa,Service Operation,Technology,Charging,5/31/2010 23:00,6/1/2010 13:00,RSG,open RSG acess for eamrtawi,4-Low,Risk Level 1
CRQ000000007312,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,6/1/2010 13:00,6/14/2010 23:00,VPN access,"Please open the below urgent VPN access to the vendors for 2 weeks:    VPN Name	GW	FW	From	To	Policy id  MSP	None	HQ-LAN/WAN	L2-Infra	L2-GSM	776  USSD Pri	195.230.2.85 	Rmd-LAN/WAN	L2-Infra	L2-GSM	366",1-Critical,Risk Level 1
CRQ000000007117,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,5/30/2010 13:01,5/30/2010 13:01,"Appreciate if you activate RSG ""eelasaz""","Appreciate if you activate RSG ""eelasaz""",4-Low,Risk Level 1
CRQ000000006834,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,5/25/2010 15:31,5/28/2010 15:31,"please extend access for below user for next 3 days  ""eelasaz""","please extend access for below user for next 3 days  ""eelasaz""",4-Low,Risk Level 1
CRQ000000006712,3-Moderate/Limited,Afarouk,Service Operation,Technology,NSM,5/23/2010 23:00,5/24/2010 15:00,RSG for  Mohamed El Kady [emohelk] to handle CBS problem,RSG for  Mohamed El Kady [emohelk] to handle CBS problem,2-High,Risk Level 1
CRQ000000006671,2-Significant/Large,Afarouk,Service Operation,Technology,NSM,5/23/2010 23:00,5/24/2010 11:00,RSG for  Mina Mounir  eminmou for OSS upgrade issues  ,RSG for  Mina Mounir  eminmou for OSS upgrade issues,2-High,Risk Level 1
CRQ000000006623,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,5/22/2010 23:00,5/23/2010 16:00,"OPEN RSG  Bishoy Alphonse ""ebisalp""","OPEN RSG  Bishoy Alphonse ""ebisalp""",4-Low,Risk Level 1
CRQ000000006548,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,5/23/2010 20:00,5/23/2010 22:00,"RSG for EOMAISM, EEZZAHM and EMINGEO",RSG,4-Low,Risk Level 1
CRQ000000006543,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,5/23/2010 9:12,5/23/2010 9:15,Please activate RSG access for ashraf Azer (Ericsson),Appreciate your kind support to activate RSG access for ashraf Azer (Ericsson) for SDP28 emergency case...,4-Low,Risk Level 1
CRQ000000006498,4-Minor/Localized,WSalim,Products & Services Delivery,Technology,P&SD Billing,5/19/2010 23:00,5/20/2010 0:00,"Add new s.c (707,1707) to RX,VASP,IBT,Etopup","Add new s.c (707,1707) to RX,VASP,IBT,Etopup",4-Low,Risk Level 1
CRQ000000006358,2-Significant/Large,Afarouk,Service Operation,Technology,NSM,5/19/2010 10:00,5/20/2010 23:00,"RSG for Mohamed EL Sawaf(eelmosf), Mina Mounir(eminmou)  ","RSG for Mohamed EL Sawaf(eelmosf), Mina Mounir(eminmou)",2-High,Risk Level 1
CRQ000000006186,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,5/17/2010 14:00,5/17/2010 20:00,RSG for ebisalp,RSG,4-Low,Risk Level 1
CRQ000000006164,4-Minor/Localized,NSamanoudy,Service Operation,Technology,Charging,5/17/2010 14:30,5/17/2010 14:45,"Please grant access for 5 days for both "" eelasaz & eamrtawi"", Urgent Please","Please grant access for 5 days for both "" eelasaz & eamrtawi"", Urgent Please",1-Critical,Risk Level 1
CRQ000000006148,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,5/17/2010 12:28,5/17/2010 12:28,"Can you please activate RSG for ""eelasaz"" & ""emingeo""  from ericsson","Can you please activate RSG for ""eelasaz"" & ""emingeo""  from ericsson",4-Low,Risk Level 1
CRQ000000006125,4-Minor/Localized,GMoustafa,Service Operation,Technology,Charging,5/17/2010 10:31,5/17/2010 10:31,RSG access    ,RSG access  ,4-Low,Risk Level 1
CRQ000000006086,4-Minor/Localized,Afarouk,Service Operation,Technology,NSM,5/17/2010 0:00,5/18/2010 23:00,RSG For Mina Mounir [meminmou] for OSS upgrade  ,RSG For Mina Mounir [meminmou] for OSS upgrade    ,2-High,Risk Level 1
CRQ000000005901,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,5/13/2010 21:00,5/13/2010 22:00,RSG for ebisalp,RSG,4-Low,Risk Level 1
CRQ000000005860,3-Moderate/Limited,Afarouk,Service Operation,Technology,NSM,5/12/2010 23:00,5/14/2010 23:00,"RSG to check CBS problem ""	Mohamed el kady (emohelk)",kady (emohelk),2-High,Risk Level 1
CRQ000000005785,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,5/12/2010 11:31,5/12/2010 12:31,please open RSG access for ekesmohi  ,please open RSG access for ekesmohi  ,4-Low,Risk Level 1
CRQ000000005776,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,5/11/2010 23:00,5/11/2010 23:10,"open RSG to mina mounir ""eminmou""  nodes: 2GOSS&3GOSS","open RSG to mina mounir ""eminmou""  nodes: 2GOSS&3GOSS",4-Low,Risk Level 1
CRQ000000005769,4-Minor/Localized,TAtef,Service Operation,Technology,Charging,5/12/2010 9:00,5/12/2010 11:00,please open RSG for Mina from Ericsson   username: emingeo,please open RSG for Mina from Ericsson   username: emingeo,4-Low,Risk Level 1
CRQ000000005662,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,5/11/2010 20:00,5/11/2010 22:00,RSG for eezzahm,RSG,4-Low,Risk Level 1
CRQ000000005492,4-Minor/Localized,tela,Tech-PSD Voice and Messaging,Technology,Tech-PSD Voice and Messaging,5/10/2010 1:00,5/10/2010 2:00,define a new service (All In One Roaming) on VF-EXpress & User Profile DB,define a new service (All In One Roaming) on VF-EXpress & User Profile DB,3-Medium,Risk Level 1
CRQ000000005477,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,5/9/2010 10:00,5/9/2010 12:00,RSG for eelasaz,RSG foreelasaz,4-Low,Risk Level 1
CRQ000000005462,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,5/9/2010 9:27,5/9/2010 9:27,Appreciate your kind support to open RSG access for emingeo (Ericsson)   ,Appreciate your kind support to open RSG access for emingeo (Ericsson)   ,4-Low,Risk Level 1
CRQ000000005452,4-Minor/Localized,Afarouk,Service Operation,Technology,NSM,5/9/2010 9:00,5/10/2010 23:00,"Open RSG for Mina mounir ""eminmou""  Nodes: 2G&3G OSS","Open RSG for Mina mounir ""eminmou""  Nodes: 2G&3G OSS",2-High,Risk Level 1
CRQ000000005446,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,5/9/2010 6:40,5/9/2010 7:00,"Open RSG ""emohelk""   Nodes: 2GOSS and 3GOSS","Open RSG ""emohelk""   Nodes: 2GOSS and 3GOSS",2-High,Risk Level 1
CRQ000000005342,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,5/5/2010 23:00,5/7/2010 23:00,"i need to open RSG for Ericsson   Mohamed Elkadi ""emohelk""  nodes are:  2GOSS and 3GOSS","i need to open RSG for Ericsson   Mohamed Elkadi ""emohelk""  nodes are:  2GOSS and 3GOSS",4-Low,Risk Level 1
CRQ000000005311,4-Minor/Localized,MMabrouk1,Service Operation,Technology,Payment,5/4/2010 23:00,5/5/2010 23:00,open firewall access from Huawei File Server to DWH machine,open firewall access from Huawei File Server to DWH machine,2-High,Risk Level 1
CRQ000000005223,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,5/3/2010 23:00,5/5/2010 23:00,open RSG for Ashraf Azer for only two days,open RSG for Ashraf Azer for only two days,4-Low,Risk Level 1
CRQ000000005109,4-Minor/Localized,myounes2,Service Operation,Technology,IN,5/2/2010 23:00,5/4/2010 23:00,please open RSG for eezzahm,please open RSG for eezzahm,4-Low,Risk Level 1
CRQ000000005091,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,5/3/2010 11:00,5/7/2010 23:00,Open RSG for below user for 5 days  emingeo,Open RSG for below user for 5 days  emingeo,4-Low,Risk Level 1
CRQ000000004971,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/29/2010 0:00,4/29/2010 13:00,Open RSG for below user  emingeo,Open RSG for below user  emingeo,4-Low,Risk Level 1
CRQ000000004937,4-Minor/Localized,esayed2,Tech-PSD Voice and Messaging,Technology,Tech-PSD Voice and Messaging,4/29/2010 0:00,4/29/2010 11:00,Launch of new WSMS application,Launch of new WSMS application,2-High,Risk Level 1
CRQ000000004706,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,4/27/2010 0:00,4/28/2010 1:00,RSG for ebahahm for 5 days,RSG,4-Low,Risk Level 1
CRQ000000004620,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,4/27/2010 0:00,4/27/2010 0:00,RSG for ebahahm,RSG,4-Low,Risk Level 1
